Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,212.7899932861328,216.3000030517578,208.39999389648438,213.11000061035156,211.15997314453125,2700700
2022-01-19,214.50999450683594,221.22999572753906,213.94000244140625,219.94000244140625,217.92747497558594,2327600
2022-01-20,221.66000366210938,222.3800048828125,211.27000427246094,212.10000610351562,210.15921020507812,3147500
2022-01-21,211.6699981689453,214.8699951171875,210.16000366210938,210.17999267578125,208.2567596435547,2060100
2022-01-24,208.4499969482422,216.9199981689453,208.02000427246094,216.5800018310547,214.5982208251953,2468400
2022-01-25,215.30999755859375,215.35000610351562,209.17999267578125,212.00999450683594,210.07003784179688,2283200
2022-01-26,212.6300048828125,214.36000061035156,203.1699981689453,204.7100067138672,202.8368377685547,2327700
2022-01-27,205.0,209.1699981689453,204.97999572753906,205.33999633789062,203.46107482910156,2232300
2022-01-28,205.16000366210938,205.16000366210938,200.74000549316406,204.3300018310547,202.46031188964844,2080400
2022-01-31,204.50999450683594,209.13999938964844,204.38999938964844,208.47999572753906,206.57232666015625,2901900
2022-02-01,208.4199981689453,209.92999267578125,205.4199981689453,209.1199951171875,207.2064666748047,1705400
2022-02-02,208.49000549316406,210.24000549316406,206.5399932861328,206.69000244140625,204.7987060546875,2020300
2022-02-03,205.5399932861328,207.66000366210938,205.07000732421875,205.3699951171875,203.4907684326172,1850700
2022-02-04,205.75,205.75,200.47000122070312,202.36000061035156,200.5083465576172,2006000
2022-02-07,202.5399932861328,203.41000366210938,200.24000549316406,200.58999633789062,198.75453186035156,1622000
2022-02-08,200.8800048828125,204.41000366210938,199.50999450683594,202.77000427246094,200.91458129882812,2913500
2022-02-09,203.82000732421875,206.2899932861328,203.3699951171875,205.7899932861328,203.90692138671875,2354100
2022-02-10,203.11000061035156,205.5,200.9600067138672,202.10000610351562,200.25071716308594,1854200
2022-02-11,202.6300048828125,203.1999969482422,200.3699951171875,200.6300048828125,198.79417419433594,1212000
2022-02-14,200.85000610351562,201.39999389648438,199.22000122070312,200.61000061035156,198.77435302734375,1442400
2022-02-15,201.3000030517578,201.58999633789062,198.25,199.14999389648438,197.32769775390625,1721700
2022-02-16,198.22000122070312,199.1199951171875,194.32000732421875,197.35000610351562,195.544189453125,2661500
2022-02-17,196.7100067138672,198.72999572753906,196.0,197.1199951171875,195.3162841796875,1853300
2022-02-18,196.9600067138672,201.60000610351562,196.75999450683594,199.97000122070312,198.14019775390625,3468300
2022-02-22,198.47000122070312,199.3300018310547,191.2899932861328,191.94000244140625,190.18368530273438,2167700
2022-02-23,192.27999877929688,192.99000549316406,188.05999755859375,188.33999633789062,186.6166229248047,1654100
2022-02-24,185.14999389648438,191.2899932861328,185.14999389648438,190.8000030517578,189.0541229248047,2083100
2022-02-25,195.80999755859375,199.42999267578125,192.27000427246094,198.99000549316406,197.16917419433594,2561500
