Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,242.75,248.52000427246094,242.08999633789062,247.07000732421875,243.7387237548828,3241200
2022-01-19,246.3300018310547,250.41000366210938,244.72999572753906,245.0500030517578,241.74595642089844,2487600
2022-01-20,245.5800018310547,247.9499969482422,242.5,243.1300048828125,239.8518524169922,2655400
2022-01-21,246.8800048828125,247.8800048828125,242.1199951171875,243.05999755859375,239.7827911376953,2788600
2022-01-24,242.5500030517578,243.75999450683594,232.67999267578125,240.4199981689453,237.17837524414062,3712800
2022-01-25,236.80999755859375,241.52999877929688,235.1199951171875,239.4600067138672,236.2313232421875,2525100
2022-01-26,239.6300048828125,242.42999267578125,235.91000366210938,237.86000061035156,234.65289306640625,2913200
2022-01-27,239.97999572753906,243.27000427246094,235.75999450683594,236.72000122070312,233.5282745361328,2178500
2022-01-28,237.49000549316406,245.22000122070312,235.0500030517578,245.10000610351562,241.7952880859375,3081100
2022-01-31,243.27000427246094,245.49000549316406,241.9199981689453,245.38999938964844,242.0813751220703,3237100
2022-02-01,247.0500030517578,248.83999633789062,243.25999450683594,248.27999877929688,244.93240356445312,2449400
2022-02-02,245.35000610351562,251.8800048828125,244.02999877929688,250.8300018310547,247.44801330566406,2586700
2022-02-03,247.5,248.1199951171875,241.10000610351562,244.80999755859375,241.50918579101562,3473600
2022-02-04,242.72000122070312,244.10000610351562,241.22000122070312,242.27000427246094,239.00344848632812,3569300
2022-02-07,242.41000366210938,244.02999877929688,240.3000030517578,243.5500030517578,240.26617431640625,3948300
2022-02-08,241.89999389648438,242.88999938964844,237.47000122070312,239.91000366210938,236.67526245117188,2615000
2022-02-09,241.25999450683594,244.4600067138672,241.05999755859375,243.27000427246094,239.98997497558594,1759900
2022-02-10,239.89999389648438,244.08999633789062,238.11000061035156,239.63999938964844,236.40892028808594,2283100
2022-02-11,239.22999572753906,240.6300048828125,234.85000610351562,235.74000549316406,232.56149291992188,2054300
2022-02-14,234.0,236.8800048828125,231.8699951171875,234.69000244140625,232.4921417236328,2572000
2022-02-15,236.64999389648438,244.7899932861328,236.64999389648438,243.83999633789062,241.55645751953125,3409600
2022-02-16,242.5800018310547,247.02000427246094,242.5800018310547,245.5800018310547,243.28016662597656,2459000
2022-02-17,245.5800018310547,245.58999633789062,240.41000366210938,240.97000122070312,238.7133331298828,2059100
2022-02-18,238.02000427246094,242.42999267578125,238.02000427246094,240.30999755859375,238.05950927734375,2517900
2022-02-22,239.2100067138672,240.86000061035156,237.52000427246094,239.1300048828125,236.89056396484375,2936700
2022-02-23,240.5500030517578,242.67999267578125,238.02000427246094,238.30999755859375,236.0782470703125,2296300
2022-02-24,235.17999267578125,243.92999267578125,234.0,243.0800018310547,240.80357360839844,3272300
2022-02-25,243.83999633789062,252.89999389648438,243.72999572753906,250.85000610351562,248.5008087158203,2442200
2022-02-28,246.13999938964844,250.05999755859375,244.58999633789062,249.9499969482422,247.60923767089844,3188800
2022-03-01,247.55999755859375,250.33999633789062,245.44000244140625,249.5,247.16343688964844,2873200
2022-03-02,249.8800048828125,256.4800109863281,249.05999755859375,254.1699981689453,251.7897186279297,2452000
2022-03-03,254.8300018310547,259.5799865722656,254.38999938964844,258.6400146484375,256.2178649902344,3153700
2022-03-04,256.2099914550781,263.4599914550781,255.52000427246094,262.8699951171875,260.4082336425781,3497100
2022-03-07,259.8599853515625,263.6300048828125,257.8599853515625,261.6400146484375,259.18975830078125,3074800
2022-03-08,259.92999267578125,265.29998779296875,258.9100036621094,259.92999267578125,257.4957580566406,3482600
2022-03-09,263.29998779296875,267.7900085449219,262.07000732421875,262.7900085449219,260.3289794921875,2965900
2022-03-10,262.8399963378906,267.7300109863281,262.8399963378906,266.0199890136719,263.52874755859375,2797200
2022-03-11,265.07000732421875,271.7200012207031,265.07000732421875,266.29998779296875,263.80609130859375,2469600
2022-03-14,268.989990234375,270.8999938964844,267.32000732421875,269.0,266.4808349609375,2713800
2022-03-15,269.8699951171875,276.4800109863281,269.8699951171875,275.4599914550781,272.8803405761719,4396900
2022-03-16,277.8500061035156,278.6099853515625,273.010009765625,276.44000244140625,273.8511657714844,3148600
2022-03-17,277.010009765625,285.8900146484375,276.45001220703125,285.510009765625,282.83624267578125,3270100
2022-03-18,285.8399963378906,291.3500061035156,284.8599853515625,287.6400146484375,284.9462890625,4557900
2022-03-21,287.760009765625,295.3299865722656,287.760009765625,289.6400146484375,286.9275817871094,3495700
2022-03-22,289.6700134277344,290.55999755859375,283.3900146484375,285.0199890136719,282.350830078125,3791600
2022-03-23,284.4200134277344,288.17999267578125,283.3500061035156,284.19000244140625,281.528564453125,3149200
2022-03-24,286.2900085449219,288.8500061035156,284.6600036621094,287.69000244140625,284.9958190917969,2412400
2022-03-25,288.5,291.6499938964844,286.5799865722656,289.0199890136719,286.3133544921875,2399800
2022-03-28,291.3299865722656,292.45001220703125,288.30999755859375,291.6600036621094,288.92864990234375,2195000
2022-03-29,292.0299987792969,293.1400146484375,287.5799865722656,288.3900146484375,285.68927001953125,2798100
2022-03-30,290.5799865722656,292.2900085449219,287.989990234375,289.8900146484375,287.1752014160156,2220100
2022-03-31,289.3699951171875,291.79998779296875,285.9200134277344,286.3699951171875,283.6881408691406,3227600
2022-04-01,286.1499938964844,293.1400146484375,284.0,292.6700134277344,289.9291687011719,3066200
2022-04-04,292.75,294.9800109863281,290.95001220703125,291.4200134277344,288.69085693359375,3014100
2022-04-05,291.7200012207031,295.8299865722656,289.1000061035156,292.489990234375,289.7508544921875,2324200
2022-04-06,296.0899963378906,306.55999755859375,294.7699890136719,305.8399963378906,302.975830078125,4672900
2022-04-07,305.0,314.0,305.0,308.42999267578125,305.54156494140625,4270800
2022-04-08,308.0,312.3800048828125,307.95001220703125,311.69000244140625,308.77105712890625,3024700
2022-04-11,313.0899963378906,313.760009765625,308.04998779296875,308.9599914550781,306.0666198730469,2178100
2022-04-12,306.5799865722656,309.6099853515625,304.17999267578125,308.0799865722656,305.1948547363281,2688100
2022-04-13,307.2799987792969,308.29998779296875,300.4100036621094,302.6700134277344,299.8355407714844,2528700
2022-04-14,303.75,304.4700012207031,300.19000244140625,301.8599853515625,299.0330810546875,1898100
2022-04-18,301.07000732421875,302.05999755859375,296.79998779296875,298.82000732421875,296.0215759277344,1581400
2022-04-19,298.4100036621094,299.69000244140625,293.79998779296875,297.010009765625,294.2285461425781,2021700
2022-04-20,297.0199890136719,299.0,292.29998779296875,292.9200134277344,290.1768493652344,2608600
2022-04-21,292.9200134277344,293.45001220703125,286.6600036621094,289.6099853515625,286.8977966308594,2716800
2022-04-22,289.29998779296875,289.6199951171875,278.3999938964844,278.7300109863281,276.1197204589844,2772600
2022-04-25,278.75,285.95001220703125,276.8299865722656,285.20001220703125,282.52911376953125,2410200
2022-04-26,286.17999267578125,290.2099914550781,282.7900085449219,282.8299865722656,280.1813049316406,2166600
2022-04-27,283.1000061035156,288.1300048828125,280.5899963378906,285.0899963378906,282.4201354980469,2352100
2022-04-28,295.989990234375,300.510009765625,288.55999755859375,297.2699890136719,294.4860534667969,5886900
2022-04-29,295.7900085449219,297.30999755859375,289.1400146484375,292.1300048828125,289.39422607421875,3910900
2022-05-02,291.2300109863281,292.8399963378906,284.2799987792969,289.55999755859375,286.8482666015625,2789900
2022-05-03,288.6300048828125,289.80999755859375,284.1099853515625,288.07000732421875,285.37225341796875,2109500
2022-05-04,288.5,296.9800109863281,284.1199951171875,294.8999938964844,292.13824462890625,2743600
2022-05-05,293.4200134277344,294.989990234375,288.29998779296875,292.3699951171875,289.6319885253906,3120200
2022-05-06,290.1700134277344,298.25,288.5199890136719,296.8999938964844,294.11956787109375,2931200
2022-05-09,293.510009765625,294.92999267578125,286.6499938964844,289.2300109863281,286.5213928222656,3460500
2022-05-10,292.0,293.42999267578125,285.0,285.70001220703125,283.0244445800781,3140800
2022-05-11,283.6700134277344,294.5,283.0,286.69000244140625,284.00518798828125,2625200
2022-05-12,283.3299865722656,291.989990234375,283.3299865722656,291.79998779296875,289.06732177734375,2370000
2022-05-13,292.6300048828125,292.79998779296875,286.510009765625,291.6300048828125,289.8724365234375,2337700
2022-05-16,292.1099853515625,309.44000244140625,291.6000061035156,299.3800048828125,297.57574462890625,5118300
2022-05-17,300.0,303.3999938964844,293.3900146484375,301.3999938964844,299.58355712890625,2553000
2022-05-18,300.0,302.6000061035156,294.0299987792969,295.19000244140625,293.4109802246094,2161400
2022-05-19,293.5799865722656,293.5799865722656,284.3699951171875,286.2699890136719,284.54473876953125,3157400
2022-05-20,290.7300109863281,299.239990234375,288.9200134277344,298.8500061035156,297.0489196777344,3129100
2022-05-23,300.6000061035156,304.9200134277344,299.3500061035156,302.6000061035156,300.77630615234375,2873600
2022-05-24,303.7099914550781,307.6700134277344,299.79998779296875,305.9599914550781,304.1160583496094,2804900
2022-05-25,307.0,310.4200134277344,304.6400146484375,307.010009765625,305.1597595214844,3195700
2022-05-26,305.2300109863281,313.9100036621094,303.6099853515625,313.4599914550781,311.57086181640625,3284200
2022-05-27,312.6499938964844,324.0799865722656,311.260009765625,323.4800109863281,321.5304870605469,3694300
2022-05-31,316.6300048828125,318.4599914550781,309.0299987792969,313.44000244140625,311.5509948730469,6298900
2022-06-01,313.44000244140625,313.8999938964844,305.5899963378906,311.0799865722656,309.2052001953125,2731500
2022-06-02,310.57000732421875,310.6700134277344,298.1700134277344,302.42999267578125,300.60736083984375,3703300
2022-06-03,302.1600036621094,305.80999755859375,300.70001220703125,301.6499938964844,299.83203125,2490000
2022-06-06,315.1300048828125,315.1300048828125,303.0899963378906,303.3599853515625,301.53173828125,3734400
2022-06-07,303.989990234375,312.1499938964844,303.0199890136719,312.1000061035156,310.21905517578125,3652800
