time,Name,Close,Diff
2022-01-12,AAVE-GBP,159.64,2.539999999999992
2022-01-13,AAVE-GBP,152.4,-7.189999999999998
2022-01-14,AAVE-GBP,164.12,11.920000000000016
2022-01-15,AAVE-GBP,174.5,10.610000000000014
2022-01-16,AAVE-GBP,177.29,2.8100000000000023
2022-01-17,AAVE-GBP,166.38,-11.300000000000011
2022-01-18,AAVE-GBP,171.07,4.549999999999983
2022-01-19,AAVE-GBP,154.68,-15.919999999999987
2022-01-20,AAVE-GBP,145.79,-9.25
2022-01-21,AAVE-GBP,126.44,-19.47999999999999
2022-01-22,AAVE-GBP,108.86,-17.409999999999997
2022-01-23,AAVE-GBP,117.03,8.340000000000003
2022-01-24,AAVE-GBP,113.04,-3.6499999999999915
2022-01-25,AAVE-GBP,112.76,0.030000000000001137
2022-01-26,AAVE-GBP,108.91,-3.8700000000000045
2022-01-27,AAVE-GBP,108.17,-0.789999999999992
2022-01-28,AAVE-GBP,110.99,2.8499999999999943
2022-01-29,AAVE-GBP,114.65,3.730000000000004
2022-01-30,AAVE-GBP,111.43,-3.1699999999999875
2022-01-31,AAVE-GBP,117.1,5.530000000000001
2022-02-01,AAVE-GBP,121.27,4.11999999999999
2022-02-02,AAVE-GBP,111.4,-10.009999999999991
2022-02-03,AAVE-GBP,112.7,1.269999999999996
2022-02-04,AAVE-GBP,123.28,11.070000000000007
2022-02-05,AAVE-GBP,123.14,0.0799999999999983
2022-02-06,AAVE-GBP,128.7,5.6899999999999835
2022-02-07,AAVE-GBP,134.8,6.0800000000000125
2022-02-08,AAVE-GBP,136.01,1.1599999999999966
2022-02-09,AAVE-GBP,139.0,2.680000000000007
2022-02-10,AAVE-GBP,129.5,-9.300000000000011
2022-02-11,AAVE-GBP,120.83,-8.570000000000007
2022-02-12,AAVE-GBP,119.9,-0.789999999999992
2022-02-13,AAVE-GBP,116.67,-2.8799999999999955
2022-02-14,AAVE-GBP,119.1,2.299999999999997
2022-02-15,AAVE-GBP,126.9,7.6000000000000085
2022-02-16,AAVE-GBP,125.9,-1.25
2022-02-17,AAVE-GBP,112.37,-13.61999999999999
2022-02-18,AAVE-GBP,107.15,-4.949999999999989
2022-02-19,AAVE-GBP,107.4,0.4000000000000057
2022-02-20,AAVE-GBP,101.3,-6.0
2022-02-21,AAVE-GBP,94.66,-6.650000000000006
2022-02-22,AAVE-GBP,99.07,4.47999999999999
2022-02-23,AAVE-GBP,96.36,-2.8400000000000034
2022-02-24,AAVE-GBP,93.79,-2.25
2022-02-25,AAVE-GBP,104.3,10.399999999999991
2022-02-26,AAVE-GBP,102.0,-2.4000000000000057
2022-02-27,AAVE-GBP,98.26,-3.239999999999995
2022-02-28,AAVE-GBP,108.64,10.530000000000001
2022-03-01,AAVE-GBP,107.79,-0.8599999999999994
